activity_code_category,activity_code,activity_code_definition,activity_code_notes
None,0,Unassigned,
Religious Activities,001,"Church, synagogue, etc.",
Religious Activities,002,Association or convention of churches,
Religious Activities,003,Religious order,
Religious Activities,004,Church auxiliary,
Religious Activities,005,Mission,
Religious Activities,006,Missionary activities,
Religious Activities,007,Evangelism,
Religious Activities,008,Religious publishing activities,
Religious Activities,029,Other religious activities,
Religious Activities,918,Book store,Use code 918
Religious Activities,094,Genealogical activities,Use code 094
Schools Colleges And Related Activities,030,"School, college, trade school, etc.",
Schools Colleges And Related Activities,031,"Special school for the blind, handicapped, etc.",
Schools Colleges And Related Activities,032,Nursery school,
Schools Colleges And Related Activities,033,Faculty group,
Schools Colleges And Related Activities,034,Alumni association or group,
Schools Colleges And Related Activities,035,Parent or parent-teachers association,
Schools Colleges And Related Activities,036,Key club,Use code 323 (Youth Organization)
Schools Colleges And Related Activities,037,Other student society or group,
Schools Colleges And Related Activities,038,School or college athletic association,
Schools Colleges And Related Activities,039,Scholarships for children of employees,
Schools Colleges And Related Activities,040,Scholarships (other),
Schools Colleges And Related Activities,041,Student loans,
Schools Colleges And Related Activities,042,Student housing activities,
Schools Colleges And Related Activities,043,Other student aid,
Schools Colleges And Related Activities,044,Student exchange with foreign country,
Schools Colleges And Related Activities,045,Student operated business,
Schools Colleges And Related Activities,046,Private school,
Schools Colleges And Related Activities,059,Other school related activities,
Schools Colleges And Related Activities,574,Day care center,Use code 574
Schools Colleges And Related Activities,602,"Financial support of schools, colleges, etc.",Use code 602
Schools Colleges And Related Activities,914,Achievement prizes or awards,Use code 914
Schools Colleges And Related Activities,918,Student bookstore,Use code 918
Schools Colleges And Related Activities,299,Student travel,Use code 299
Schools Colleges And Related Activities,See Notes,Scientific research,See Scientific Research Activities (180-199)
Cultural Historical Or Other Educational Activities,060,"Museum, zoo, planetarium, etc.",
Cultural Historical Or Other Educational Activities,061,Library,
Cultural Historical Or Other Educational Activities,062,Historical site records or reenactment,
Cultural Historical Or Other Educational Activities,063,Monument,
Cultural Historical Or Other Educational Activities,064,"Commemorative event (centennial, festival, pageant, etc.)",
Cultural Historical Or Other Educational Activities,065,Fair,
Cultural Historical Or Other Educational Activities,088,Community theatrical group,
Cultural Historical Or Other Educational Activities,089,Singing society or group,
Cultural Historical Or Other Educational Activities,090,Cultural performances,
Cultural Historical Or Other Educational Activities,091,Art exhibit,
Cultural Historical Or Other Educational Activities,092,Literary activities,
Cultural Historical Or Other Educational Activities,093,Cultural exchanges with foreign country,
Cultural Historical Or Other Educational Activities,094,Genealogical activities,
Cultural Historical Or Other Educational Activities,119,Other cultural or historical activities,
Cultural Historical Or Other Educational Activities,914,Achievement prizes awards,Use code 914
Cultural Historical Or Other Educational Activities,561,Gifts or grants to individuals,Use code 561
Cultural Historical Or Other Educational Activities,602,Financial support of cultural organizations,Use code 602
Other Instructions And Training Activities,120,Publishing activities,
Other Instructions And Training Activities,121,Radio or television broadcasting,
Other Instructions And Training Activities,122,Producing films,
Other Instructions And Training Activities,123,"Discussion groups, forums, panels lectures, etc.",
Other Instructions And Training Activities,124,Study and research (non-scientific),
Other Instructions And Training Activities,125,Giving information or opinion,See also Advocacy (510-559)
Other Instructions And Training Activities,126,Apprentice training,
Other Instructions And Training Activities,149,Other instruction and training,
Other Instructions And Training Activities,299,Travel tours,Use code 299
Health Services And Related Activities,150,Hospital,
Health Services And Related Activities,151,Hospital auxiliary,
Health Services And Related Activities,152,Nursing or convalescent home,
Health Services And Related Activities,153,Care and housing for the aged,See also 382
Health Services And Related Activities,155,Rural medical facility,
Health Services And Related Activities,156,Blood bank,
Health Services And Related Activities,157,Cooperative hospital service organization,
Health Services And Related Activities,158,Rescue and emergency service,
Health Services And Related Activities,159,Nurses register or bureau,
Health Services And Related Activities,160,Aid to the handicapped,See also 031
Health Services And Related Activities,161,Scientific research (diseases),
Health Services And Related Activities,162,Other medical research,
Health Services And Related Activities,163,"Health insurance (medical, dental, optical, etc.)",
Health Services And Related Activities,164,Prepared group health plan,
Health Services And Related Activities,165,Community health planning,
Health Services And Related Activities,166,Mental health care,
Health Services And Related Activities,167,Group medical practice association,
Health Services And Related Activities,168,In-faculty group practice association,
Health Services And Related Activities,169,"Hospital pharmacy, parking facility, food services, etc.",
Health Services And Related Activities,179,Other health services,
Scientific Research Activities,180,Contact or sponsored scientific research for industry,
Scientific Research Activities,181,Scientific research for government,
Scientific Research Activities,199,Other scientific research activities,
Scientific Research Activities,161,Scientific research (diseases),Use code 161
Business And Professional Organizations,200,"Business promotion (chamber of commerce, business league, etc.)",
Business And Professional Organizations,201,Real estate association,
Business And Professional Organizations,202,Board of trade,
Business And Professional Organizations,203,Regulating business,
Business And Professional Organizations,204,Promotion of fair business practices,
Business And Professional Organizations,205,Professional association,
Business And Professional Organizations,206,Professional association auxiliary,
Business And Professional Organizations,207,Industry trade shows,
Business And Professional Organizations,208,Convention displays,
Business And Professional Organizations,209,Research development and testing,
Business And Professional Organizations,210,Professional athletic league,
Business And Professional Organizations,211,Underwriting municipal insurance,
Business And Professional Organizations,212,Assigned risk insurance activities,
Business And Professional Organizations,213,Tourist bureau,
Business And Professional Organizations,229,Other business or professional group,
Business And Professional Organizations,905,Testing products of public safety,Use code 905
Business And Professional Organizations,403,Attracting new industry,Use code 403
Business And Professional Organizations,120,Publishing activities,Use code 120
Business And Professional Organizations,See Notes,Insurance or other benefits for members,See Employee or Membership Benefit Organizations (260-279)
Farming And Related Activities,230,Farming,
Farming And Related Activities,231,Farm bureau,
Farming And Related Activities,232,Agricultural group,
Farming And Related Activities,233,Horticultural group,
Farming And Related Activities,234,Farmers cooperative marketing or purchasing,
Farming And Related Activities,235,Farmers cooperative marketing or purchasing (Repeat in source),
Farming And Related Activities,237,Breeders association,
Farming And Related Activities,249,Other farming and related activities,
Farming And Related Activities,322,"FFA, FHA, 4-H club, etc",Use code 322
Farming And Related Activities,065,Fair,Use code 065
Mutual Organizations,250,"Mutual ditch, irrigation, telephone, electric company or like organization",
Mutual Organizations,251,Credit union,
Mutual Organizations,252,"Reserve funds or insurance for domestic building and loan association, cooperative bank, or mutual savings bank",
